question_id,concept,difficulty
Q001,INNER JOIN,0.589
Q002,NORMALIZATION,0.72
Q003,INNER JOIN,0.484
Q004,AGGREGATE FUNCTIONS,0.438
Q005,GROUP BY,0.393
Q006,ORDER BY,0.205
Q007,WHERE,0.38
Q008,JOINS,0.4
Q009,SELECT,0.226
Q010,UNION,0.357
Q011,SUBQUERIES,0.564
Q012,INDEXING,0.52
Q013,NORMALIZATION,0.686
Q014,UNION,0.504
Q015,ORDER BY,0.415
Q016,INNER JOIN,0.401
Q017,INNER JOIN,0.354
Q018,FOREIGN KEY,0.452
Q019,RIGHT JOIN,0.455
Q020,WHERE,0.371
Q021,NORMALIZATION,0.705
Q022,UNION,0.499
Q023,NORMALIZATION,0.552
Q024,VIEWS,0.478
Q025,LEFT JOIN,0.627
Q026,JOINS,0.462
Q027,GROUP BY,0.405
Q028,STORED PROCEDURES,0.783
Q029,WHERE,0.299
Q030,GROUP BY,0.529
Q031,INDEXING,0.548
Q032,FOREIGN KEY,0.299
Q033,LEFT JOIN,0.653
Q034,PRIMARY KEY,0.268
Q035,PRIMARY KEY,0.235
Q036,NORMALIZATION,0.55
Q037,INNER JOIN,0.477
Q038,SELECT,0.2
Q039,AGGREGATE FUNCTIONS,0.36
Q040,LEFT JOIN,0.619
Q041,SELECT,0.301
Q042,SUBQUERIES,0.658
Q043,RIGHT JOIN,0.724
Q044,RIGHT JOIN,0.637
Q045,WHERE,0.224
Q046,HAVING,0.619
Q047,LEFT JOIN,0.482
Q048,ORDER BY,0.318
Q049,HAVING,0.692
Q050,ORDER BY,0.39
Q051,FOREIGN KEY,0.373
Q052,RIGHT JOIN,0.663
Q053,SUBQUERIES,0.682
Q054,TRIGGERS,0.559
Q055,INNER JOIN,0.493
Q056,GROUP BY,0.622
Q057,INNER JOIN,0.473
Q058,AGGREGATE FUNCTIONS,0.361
Q059,PRIMARY KEY,0.219
Q060,TRIGGERS,0.598
Q061,WHERE,0.356
Q062,JOINS,0.537
Q063,UNION,0.406
Q064,AGGREGATE FUNCTIONS,0.397
Q065,INNER JOIN,0.622
Q066,SELECT,0.207
Q067,TRANSACTIONS,0.606
Q068,ORDER BY,0.202
Q069,LEFT JOIN,0.56
Q070,HAVING,0.608
Q071,SUBQUERIES,0.651
Q072,NORMALIZATION,0.55
Q073,RIGHT JOIN,0.571
Q074,VIEWS,0.476
Q075,UNION,0.426
Q076,WHERE,0.378
Q077,HAVING,0.485
Q078,VIEWS,0.48
Q079,WHERE,0.326
Q080,HAVING,0.504
Q081,SELECT,0.21
Q082,WHERE,0.333
Q083,JOINS,0.473
Q084,GROUP BY,0.374
Q085,VIEWS,0.618
Q086,HAVING,0.59
Q087,JOINS,0.52
Q088,INDEXING,0.69
Q089,RIGHT JOIN,0.546
Q090,JOINS,0.609
Q091,ORDER BY,0.348
Q092,GROUP BY,0.355
Q093,ORDER BY,0.402
Q094,TRANSACTIONS,0.694
Q095,TRANSACTIONS,0.782
Q096,LEFT JOIN,0.516
Q097,STORED PROCEDURES,0.801
Q098,AGGREGATE FUNCTIONS,0.402
Q099,STORED PROCEDURES,0.827
Q100,SUBQUERIES,0.627
Q101,INDEXING,0.695
Q102,TRANSACTIONS,0.659
Q103,WHERE,0.449
Q104,UNION,0.517
Q105,RIGHT JOIN,0.534
Q106,TRIGGERS,0.768
Q107,ORDER BY,0.414
Q108,SELECT,0.311
Q109,AGGREGATE FUNCTIONS,0.581
Q110,GROUP BY,0.62
Q111,TRANSACTIONS,0.674
Q112,INDEXING,0.48
Q113,ORDER BY,0.443
Q114,STORED PROCEDURES,0.598
Q115,STORED PROCEDURES,0.696
Q116,ORDER BY,0.363
Q117,RIGHT JOIN,0.503
Q118,GROUP BY,0.421
Q119,INDEXING,0.674
Q120,LEFT JOIN,0.655
Q121,VIEWS,0.492
Q122,INDEXING,0.478
Q123,TRIGGERS,0.741
Q124,FOREIGN KEY,0.397
Q125,JOINS,0.518
Q126,LEFT JOIN,0.589
Q127,WHERE,0.288
Q128,SELECT,0.294
Q129,SELECT,0.199
Q130,INDEXING,0.534
Q131,ORDER BY,0.392
Q132,VIEWS,0.698
Q133,FOREIGN KEY,0.479
Q134,ORDER BY,0.387
Q135,HAVING,0.678
Q136,VIEWS,0.566
Q137,ORDER BY,0.445
Q138,TRANSACTIONS,0.588
Q139,SELECT,0.229
Q140,STORED PROCEDURES,0.717
Q141,ORDER BY,0.343
Q142,STORED PROCEDURES,0.735
Q143,WHERE,0.264
Q144,SUBQUERIES,0.813
Q145,VIEWS,0.655
Q146,RIGHT JOIN,0.661
Q147,INDEXING,0.616
Q148,SUBQUERIES,0.793
Q149,ORDER BY,0.264
Q150,PRIMARY KEY,0.22
Q151,INNER JOIN,0.5
Q152,PRIMARY KEY,0.249
Q153,LEFT JOIN,0.611
Q154,INDEXING,0.465
Q155,TRIGGERS,0.651
Q156,WHERE,0.223
Q157,TRIGGERS,0.69
Q158,VIEWS,0.411
Q159,JOINS,0.491
Q160,AGGREGATE FUNCTIONS,0.338
Q161,SELECT,0.357
Q162,UNION,0.64
Q163,INNER JOIN,0.376
Q164,PRIMARY KEY,0.249
Q165,NORMALIZATION,0.71
Q166,LEFT JOIN,0.618
Q167,PRIMARY KEY,0.442
Q168,SUBQUERIES,0.647
Q169,VIEWS,0.52
Q170,TRIGGERS,0.682
Q171,HAVING,0.455
Q172,RIGHT JOIN,0.657
Q173,SELECT,0.193
Q174,SELECT,0.261
Q175,INDEXING,0.505
Q176,PRIMARY KEY,0.27
Q177,INDEXING,0.605
Q178,HAVING,0.584
Q179,ORDER BY,0.262
Q180,INDEXING,0.498
Q181,FOREIGN KEY,0.273
Q182,NORMALIZATION,0.512
Q183,FOREIGN KEY,0.495
Q184,HAVING,0.542
Q185,INDEXING,0.692
Q186,GROUP BY,0.402
Q187,HAVING,0.52
Q188,SUBQUERIES,0.835
Q189,GROUP BY,0.364
Q190,SUBQUERIES,0.738
Q191,SELECT,0.285
Q192,PRIMARY KEY,0.241
Q193,INDEXING,0.643
Q194,VIEWS,0.66
Q195,TRANSACTIONS,0.673
Q196,STORED PROCEDURES,0.722
Q197,SELECT,0.265
Q198,TRIGGERS,0.796
Q199,UNION,0.466
Q200,SELECT,0.313
Q201,AGGREGATE FUNCTIONS,0.359
Q202,PRIMARY KEY,0.254
Q203,FOREIGN KEY,0.255
Q204,TRIGGERS,0.735
Q205,VIEWS,0.597
Q206,SUBQUERIES,0.557
Q207,WHERE,0.265
Q208,INNER JOIN,0.385
Q209,STORED PROCEDURES,0.739
Q210,GROUP BY,0.475
Q211,GROUP BY,0.403
Q212,RIGHT JOIN,0.621
Q213,ORDER BY,0.448
Q214,INDEXING,0.488
Q215,VIEWS,0.633
Q216,HAVING,0.472
Q217,PRIMARY KEY,0.385
Q218,ORDER BY,0.226
Q219,VIEWS,0.56
Q220,TRANSACTIONS,0.748
Q221,PRIMARY KEY,0.424
Q222,VIEWS,0.416
Q223,RIGHT JOIN,0.704
Q224,RIGHT JOIN,0.546
Q225,FOREIGN KEY,0.419
Q226,TRANSACTIONS,0.672
Q227,NORMALIZATION,0.525
Q228,HAVING,0.488
Q229,TRANSACTIONS,0.702
Q230,GROUP BY,0.634
Q231,INDEXING,0.687
Q232,PRIMARY KEY,0.433
Q233,INNER JOIN,0.649
Q234,HAVING,0.621
Q235,AGGREGATE FUNCTIONS,0.512
Q236,NORMALIZATION,0.543
Q237,SUBQUERIES,0.801
Q238,VIEWS,0.43
Q239,INNER JOIN,0.478
Q240,LEFT JOIN,0.422
Q241,STORED PROCEDURES,0.818
Q242,WHERE,0.22
Q243,HAVING,0.47
