student_id,attempt,question_id,concept,difficulty,correct,time_gap_days,days_since_practice,timestamp,knowledge_state
S001,1,Q043,RIGHT JOIN,0.724,0,3.007,3.007,3.007,0.3574
S001,2,Q452,RIGHT JOIN,0.577,0,1.471,1.471,4.478,0.3103
S001,3,Q022,UNION,0.499,1,1.675,6.154,6.154,0.3849
S001,4,Q007,WHERE,0.38,1,0.563,6.717,6.717,0.4015
S001,5,Q114,STORED PROCEDURES,0.598,1,2.683,9.4,9.4,0.1345
S001,6,Q210,GROUP BY,0.475,0,0.427,9.826,9.826,0.2646
S001,7,Q481,TRIGGERS,0.686,0,1.194,11.02,11.02,0.2107
S001,8,Q331,STORED PROCEDURES,0.731,0,0.319,1.939,11.339,0.0804
S001,9,Q390,GROUP BY,0.446,1,0.61,2.123,11.949,0.2928
S001,10,Q334,SUBQUERIES,0.603,0,1.395,13.344,13.344,0.1665
S001,11,Q033,LEFT JOIN,0.653,0,0.505,13.849,13.849,0.2547
S001,12,Q019,RIGHT JOIN,0.455,0,1.698,11.068,15.546,0.1193
S001,13,Q478,VIEWS,0.411,1,0.702,16.249,16.249,0.2242
S001,14,Q141,ORDER BY,0.343,1,2.305,18.554,18.554,0.2703
S001,15,Q215,VIEWS,0.633,0,0.333,2.638,18.886,0.1597
S001,16,Q310,WHERE,0.401,1,1.379,13.548,20.265,0.2583
S001,17,Q280,JOINS,0.685,0,0.485,20.75,20.75,0.0201
S001,18,Q057,INNER JOIN,0.473,0,0.017,20.767,20.767,0.0
S001,19,Q202,PRIMARY KEY,0.254,1,0.297,21.064,21.064,0.1352
S001,20,Q325,AGGREGATE FUNCTIONS,0.474,0,5.792,26.856,26.856,0.0
S001,21,Q082,WHERE,0.333,0,1.829,8.42,28.685,0.107
S001,22,Q219,VIEWS,0.56,0,1.1,10.898,29.785,0.0
S001,23,Q387,UNION,0.384,0,0.345,23.976,30.129,0.0003
S001,24,Q208,INNER JOIN,0.385,0,1.494,10.856,31.624,0.0
S001,25,Q166,LEFT JOIN,0.618,0,5.188,22.963,36.812,0.0
S001,26,Q295,SUBQUERIES,0.805,1,0.283,23.751,37.095,0.06
S001,27,Q020,WHERE,0.371,0,0.529,8.94,37.625,0.0
S001,28,Q108,SELECT,0.311,0,0.919,38.543,38.543,0.0
S001,29,Q322,TRANSACTIONS,0.638,0,0.467,39.01,39.01,0.0
S001,30,Q323,WHERE,0.355,0,0.701,2.086,39.711,0.0
S001,31,Q073,RIGHT JOIN,0.571,0,1.839,26.004,41.55,0.0
S001,32,Q233,INNER JOIN,0.649,0,1.119,11.046,42.669,0.0
S001,33,Q258,SELECT,0.206,1,3.016,7.142,45.685,0.06
S001,34,Q154,INDEXING,0.465,0,0.894,46.58,46.58,0.0
S001,35,Q315,WHERE,0.287,1,2.001,8.869,48.58,0.06
S001,36,Q379,JOINS,0.693,0,2.22,30.05,50.8,0.0
S001,37,Q414,TRIGGERS,0.737,0,1.71,41.49,52.51,0.0
S001,38,Q369,PRIMARY KEY,0.283,1,0.731,32.177,53.24,0.06
S001,39,Q137,ORDER BY,0.445,1,0.897,35.584,54.138,0.06
S001,40,Q420,INNER JOIN,0.385,0,1.94,13.409,56.078,0.0
S001,41,Q416,NORMALIZATION,0.673,1,1.674,57.752,57.752,0.06
S001,42,Q145,VIEWS,0.655,0,1.034,29.002,58.786,0.0
S001,43,Q178,HAVING,0.584,0,0.146,58.932,58.932,0.0
S001,44,Q127,WHERE,0.288,1,2.469,12.821,61.401,0.06
S001,45,Q132,VIEWS,0.698,0,0.855,3.47,62.256,0.0
S001,46,Q410,GROUP BY,0.445,0,8.384,58.691,70.64,0.0
S001,47,Q043,RIGHT JOIN,0.724,0,1.523,30.612,72.163,0.0
S001,48,Q212,RIGHT JOIN,0.621,0,0.342,0.342,72.505,0.0
S001,49,Q245,SELECT,0.37,1,3.149,29.969,75.654,0.06
S001,50,Q047,LEFT JOIN,0.482,0,0.045,38.887,75.699,0.0
S001,51,Q366,TRIGGERS,0.664,0,0.474,23.663,76.173,0.0
S001,52,Q296,VIEWS,0.472,0,0.657,14.574,76.83,0.0
S001,53,Q318,SUBQUERIES,0.809,0,1.4,41.135,78.23,0.0
S001,54,Q338,FOREIGN KEY,0.333,0,0.698,78.928,78.928,0.0
S001,55,Q338,FOREIGN KEY,0.333,1,2.453,2.453,81.381,0.06
S001,56,Q443,AGGREGATE FUNCTIONS,0.346,1,0.5,55.025,81.881,0.06
S001,57,Q387,UNION,0.384,1,1.439,53.19,83.32,0.06
S001,58,Q376,HAVING,0.695,0,6.592,30.98,89.912,0.0
S001,59,Q494,NORMALIZATION,0.671,1,0.696,32.855,90.608,0.06
S001,60,Q390,GROUP BY,0.446,0,2.412,22.38,93.02,0.0
S001,61,Q444,PRIMARY KEY,0.235,1,0.689,40.469,93.709,0.06
S001,62,Q137,ORDER BY,0.445,1,0.053,39.625,93.763,0.06
S001,63,Q258,SELECT,0.206,0,1.492,19.601,95.255,0.0
S001,64,Q188,SUBQUERIES,0.835,0,2.69,19.715,97.945,0.0
S001,65,Q114,STORED PROCEDURES,0.598,1,1.572,88.178,99.517,0.06
S001,66,Q092,GROUP BY,0.355,0,0.816,7.313,100.333,0.0
S001,67,Q139,SELECT,0.229,0,1.37,6.448,101.703,0.0
S001,68,Q214,INDEXING,0.488,0,1.048,56.171,102.75,0.0
S001,69,Q310,WHERE,0.401,0,0.043,41.392,102.794,0.0
S001,70,Q129,SELECT,0.199,0,2.169,3.259,104.962,0.0
S001,71,Q242,WHERE,0.22,1,0.788,2.957,105.751,0.06
